SpName,varText,,Groups,Obs_Occ,biasSum,Prop_reports,Exp_Occ,Chi_Val,CompareVal
Acer_grandidentatum,VN,G,4,11,664034,0.1639,295.8395,274.2485,lesser
Acer_grandidentatum,VN,G,5,3,638439,0.1575,284.2875,278.3192,lesser
Acer_leucoderme,TX,G,1,1,901798,0.2225,62.3,60.3161,lesser
Acer_leucoderme,TX,G,2,10,1031725,0.2546,71.288,52.6908,lesser
Acer_leucoderme,TX,G,3,205,653130,0.1612,45.136,566.211,greater
Acer_leucoderme,TX,G,4,64,610776,0.1507,42.196,11.2668,greater
Acer_leucoderme,TX,G,5,1,855048,0.211,59.08,57.0969,lesser
Acer_leucoderme,TN,G,1,171,1303793,0.3217,90.076,72.7019,greater
Acer_leucoderme,TN,G,2,108,1121833,0.2768,77.504,11.9995,greater
Acer_leucoderme,TN,G,3,1,875179,0.216,60.48,58.4965,lesser
Acer_leucoderme,TN,G,4,171,457583,0.1129,31.612,614.6088,greater
Acer_leucoderme,TN,G,5,108,294089,0.0726,20.328,378.1178,greater
Acer_leucoderme,VX,G,1,3,1081752,0.2669,74.732,68.8524,lesser
Acer_leucoderme,VX,G,2,11,953847,0.2354,65.912,45.7478,lesser
Acer_leucoderme,VX,G,3,49,452120,0.1116,31.248,10.0849,greater
Acer_leucoderme,VX,G,4,191,660863,0.1631,45.668,462.4987,greater
Acer_leucoderme,VX,G,5,26,903895,0.223,62.44,21.2664,lesser
Acer_leucoderme,VN,G,1,11,953258,0.2352,65.856,45.6933,lesser
Acer_leucoderme,VN,G,2,31,814172,0.2009,56.252,11.3358,lesser
Acer_leucoderme,VN,G,3,106,982574,0.2425,67.9,21.3786,greater
Acer_leucoderme,VN,G,4,132,664034,0.1639,45.892,161.566,greater
Acer_leucoderme,VN,G,5,11,638439,0.1575,44.1,24.8438,lesser
Acer_macrophyllum,TX,G,1,2109,901798,0.2225,1462.0475,286.2749,greater
Acer_macrophyllum,TX,G,2,2092,1031725,0.2546,1672.9766,104.951,greater
Acer_macrophyllum,TX,G,3,1500,653130,0.1612,1059.2452,183.3993,greater
Acer_macrophyllum,TX,G,4,755,610776,0.1507,990.2497,55.8873,lesser
Acer_macrophyllum,TX,G,5,115,855048,0.211,1386.481,1166.0195,lesser
Acer_macrophyllum,TN,G,1,2125,1303793,0.3217,2113.8907,0.0584,greater
Acer_macrophyllum,TN,G,2,3802,1121833,0.2768,1818.8528,2162.2821,greater
Acer_macrophyllum,TN,G,3,616,875179,0.216,1419.336,454.6835,lesser
Acer_macrophyllum,TN,G,4,23,457583,0.1129,741.8659,696.579,lesser
Acer_macrophyllum,TN,G,5,5,294089,0.0726,477.0546,467.107,lesser
Acer_macrophyllum,VX,G,1,2009,1081752,0.2669,1753.7999,37.1348,greater
Acer_macrophyllum,VX,G,2,1727,953847,0.2354,1546.8134,20.9897,greater
Acer_macrophyllum,VX,G,3,651,452120,0.1116,733.3236,9.2417,lesser
Acer_macrophyllum,VX,G,4,1713,660863,0.1631,1071.7301,383.704,greater
Acer_macrophyllum,VX,G,5,471,903895,0.223,1465.333,674.7259,lesser
Acer_macrophyllum,VN,G,1,1995,953258,0.2352,1545.4992,130.7351,greater
Acer_macrophyllum,VN,G,2,1073,814172,0.2009,1320.1139,46.2576,lesser
Acer_macrophyllum,VN,G,3,1268,982574,0.2425,1593.4675,66.4771,lesser
Acer_macrophyllum,VN,G,4,852,664034,0.1639,1076.9869,47.0007,lesser
Acer_macrophyllum,VN,G,5,1383,638439,0.1575,1034.9325,117.0617,greater
Acer_negundo,TX,G,1,353,901798,0.2225,947.1825,372.74,lesser
Acer_negundo,TX,G,2,1349,1031725,0.2546,1083.8322,64.8753,greater
Acer_negundo,TX,G,3,1248,653130,0.1612,686.2284,459.8867,greater
Acer_negundo,TX,G,4,721,610776,0.1507,641.5299,9.8444,greater
Acer_negundo,TX,G,5,586,855048,0.211,898.227,108.5313,lesser
Acer_negundo,TN,G,1,861,1303793,0.3217,1369.4769,188.7938,lesser
Acer_negundo,TN,G,2,1593,1121833,0.2768,1178.3376,145.9216,greater
Acer_negundo,TN,G,3,1110,875179,0.216,919.512,39.4619,greater
Acer_negundo,TN,G,4,605,457583,0.1129,480.6153,32.1911,greater
Acer_negundo,TN,G,5,88,294089,0.0726,309.0582,158.115,lesser
Acer_negundo,VX,G,1,923,1081752,0.2669,1136.1933,40.0032,lesser
Acer_negundo,VX,G,2,1372,953847,0.2354,1002.0978,136.5412,greater
Acer_negundo,VX,G,3,739,452120,0.1116,475.0812,146.6131,greater
Acer_negundo,VX,G,4,670,660863,0.1631,694.3167,0.8516,lesser
Acer_negundo,VX,G,5,553,903895,0.223,949.311,165.4488,lesser
Acer_negundo,VN,G,1,406,953258,0.2352,1001.2464,353.8772,lesser
Acer_negundo,VN,G,2,853,814172,0.2009,855.2313,0.0058,lesser
Acer_negundo,VN,G,3,1340,982574,0.2425,1032.3225,91.7014,greater
Acer_negundo,VN,G,4,968,664034,0.1639,697.7223,104.6979,greater
Acer_negundo,VN,G,5,690,638439,0.1575,670.4775,0.5684,greater
Acer_nigrum,TX,G,1,133,901798,0.2225,230.51,41.2485,lesser
Acer_nigrum,TX,G,2,622,1031725,0.2546,263.7656,486.5376,greater
Acer_nigrum,TX,G,3,228,653130,0.1612,167.0032,22.2787,greater
Acer_nigrum,TX,G,4,52,610776,0.1507,156.1252,69.4446,lesser
Acer_nigrum,TX,G,5,1,855048,0.211,218.596,216.6006,lesser
